Amsterdam-NLD-LVLT,1.25.02,19,2,"18,19",off,prv-ams01-01,prv-ams01-01.ultra.neustar.com,ARBOR ,Pravail APS 2000,PR1-20131017C,157921,Production,"Site Protect, UltraDNS","Assets.HOST.Site Protect, UltraDNS"
Amsterdam-NLD-LVLT,1.25.02,16,2,"15,16",on,dnsa-ams01-01 ,dnsa-ams01-01.prod.ultradns.net,HP,ProLiant DL360p G8,CZJ3430WFT,157922,Production,UltraDNS-Recursive,Resolver.HOST.UltraDNS-Recursive
Amsterdam-NLD-LVLT,1.25.02,14,2,"13,14",on,dnsa-ams01-02 ,dnsa-ams01-02.prod.ultradns.net,HP,ProLiant DL360p G8,CZJ3430WG1,157923,,,
Amsterdam-NLD-LVLT,1.25.02,26,2,"25,26",off,xtldedge-ams01-02 ,xtldedge-ams01-02.prod.ultradns.net,HP,ProLiant DL385 G7,2UX90209K8,143414,Production,UltraDNS-Recursive,Assets.HOST.Ultra-XTLD.UltraDNS-Resolver
Amsterdam-NLD-LVLT,1.25.02,33,2,"32,33",on,uvm-ams01-01 ,uvm-ams01-01.prod.ultradns.net,HP,ProLiant DL385 G7,CZ3226N0LT,153921,Production,UltraDNS-Common,Ultra-Hypervisor
Amsterdam-NLD-LVLT,1.25.02,30,2,"29,30",on,uvm-ams01-02 ,uvm-ams01-02.prod.ultradns.net,HP,ProLiant DL385 G7,CZ3226N0M3,153922,Production,UltraDNS-Common,Ultra-Hypervisor
Amsterdam-NLD-LVLT,1.25.02,39,2,"38,39",on,resolver-ams01-01 ,resolver-ams01-01.prod.ultradns.net,HP,ProLiant DL385 G7,CZ3226N0NY,153919,Production,UltraDNS-Resolver,Assets.HOST.UltraDNS-Resolver
Amsterdam-NLD-LVLT,1.25.02,36,2,"35,36",on,resolver-ams01-02 ,resolver-ams01-02.prod.ultradns.net,HP,ProLiant DL385 G7,CZ3226N0P5,153920,Production,UltraDNS-Resolver,Assets.HOST.UltraDNS-Resolver
Amsterdam-NLD-LVLT,1.25.02,27,2,"26,27",on,xtldedge-ams01-01 ,xtldedge-ams01-01.prod.ultradne.net,HP,ProLiant DL385 G7,USE029NJCR,144875,Production,UltraDNS-Resolver,Assets.HOST.Ultra-XTLD.UltraDNS-Resolver
Amsterdam-NLD-LVLT,1.25.02,24,2,"23,24",off,xtldedge-amssp01-03 ,xtldedge-amssp01-03.prod.ultradne.net,HP,ProLiant DL385 G7,USE030N158,144892,,,
Amsterdam-NLD-LVLT,1.25.02,21,2,"20,21",off,xtldedge-amssp01-02 ,xtldedge-amssp01-02.prod.ultradne.net,HP,ProLiant DL385 G7,USE030N15L,144874,,,
Amsterdam-NLD-LVLT,1.25.02,44,2,"43,44",,rtr-ams01-01  ,rtr-ams01-01.ultra.neustar.com,Juniper,J6350,JN11F9C22ADB,153923,Production,UltraDNS-Common,Ultra-Network
Amsterdam-NLD-Telecity-1,219,30,5,"26,27,28,29,30",,atnrp11506a1.nrs ,atnrp11506a1.nrs.neustar.com,Cisco,11500,JMX1138201X,,Production,"ENUM, Registry, Pathfinder, Network - Shared","Network.NET.Network - Shared, ENUM-Network, Pathfinder-Network"
Amsterdam-NLD-Telecity-1,219,32,1,32,,atnr5550a1,atnr5550a1,Cisco,ASA 5550,,,,,
Amsterdam-NLD-Telecity-1,219,31,1,31,,atnr5550b1,atnr5550b1,Cisco,ASA 5550,,,,,
Amsterdam-NLD-Telecity-1,219,24,1,24,,atnrpcon1,atnrpcon1,DIGI,CM16,,,,,
Amsterdam-NLD-Telecity-1,219,23,1,23,,atnrpprmdb1.nrs ,atnrpprmdb1.nrs.neustar.com,HP,ProLiant DL360p G5,CZJ804A5C9,,Production,Pathfinder,Pathfinder
Amsterdam-NLD-Telecity-1,219,21,1,21,,atnrpprcdb1.nrs ,atnrpprcdb1.nrs.neustar.com,HP,ProLiant DL360p G5,CZC8060W54,,Production,Pathfinder,Pathfinder
Amsterdam-NLD-Telecity-1,219,19,1,19,,atnrpprrwb1,atnrpprrwb1,HP,ProLiant DL360p G5,,,,,
Amsterdam-NLD-Telecity-1,219,17,1,17,,atnrpprrlp1,atnrpprrlp1,HP,ProLiant DL360p G5,,,,,
Amsterdam-NLD-Telecity-1,219,15,5,"10,11,12,13,14,15",,atnrpprmdb11,atnrpprmdb11,HP,ProLiant DL360p G5,,,,,
Amsterdam-NLD-Telecity-1,219,40,3,"38,39,40",,atnrp6504a.nrs ,atnrp6504a.nrs.neustar.com,Cisco,WS-C6504E,FOX1152GAAL,,Production,"ENUM, Registry, Pathfinder, Network - Shared","Network.NET.Network - Shared, ENUM-Network, Pathfinder-Network"
Amsterdam-NLD-Telecity-1,218,30,5,"26,27,28,29,30",,atnrq11506a,atnrq11506a,Cisco,11500,,,,,
Amsterdam-NLD-Telecity-1,218,40,2,"39,40",,antrp3845b,antrp3845b,Cisco,3845-MB,,,,,
Amsterdam-NLD-Telecity-1,218,32,1,32,,atnrpb5550a2,atnrpb5550a2,Cisco,ASA 5550,,,,,
Amsterdam-NLD-Telecity-1,218,31,1,31,,atnrpb5550b2,atnrpb5550b2,Cisco,ASA 5550,,,,,
Amsterdam-NLD-Telecity-1,218,23,1,23,,atnrpprmdb2.nrs ,atnrpprmdb2.nrs.neustar.com,HP,ProLiant DL360p G5,CZJ804A5AA,,Production,Pathfinder,Pathfinder
Amsterdam-NLD-Telecity-1,218,21,1,21,,atnrpprmfs1,atnrpprmfs1,HP,ProLiant DL360p G5,,,,,
Amsterdam-NLD-Telecity-1,218,19,1,19,,atnrpprmwb2,atnrpprmwb2,HP,ProLiant DL360p G5,,,,,
Amsterdam-NLD-Telecity-1,218,17,1,17,,atnrpprmst1,atnrpprmst1,HP,ProLiant DL360p G5,,,,,
Amsterdam-NLD-Telecity-1,218,15,2,"14,15",,atnrpprcdb2.nrs ,atnrpprcdb2.nrs.neustar.com,HP,ProLiant DL360p G5,CZJ802A4H3,,Production,Pathfinder,Pathfinder
Amsterdam-NLD-Telecity-1,218,13,3,"10,12,13",,atnrpprmdb10.nrs ,atnrpprmdb10.nrs.neustar.com,HP,ProLiant DL360p G5,9310MXQWC0UJ,,,Pathfinder,Pathfinder
Amsterdam-NLD-Telecity-1,218,37,5,"33,34,35,36,37",,atnrq6504b.nrs ,atnrq6504b.nrs.neustar.com,Cisco,WS-C6504E,FOX1152GAAF,,Production,"ENUM, Registry, Pathfinder, Network - Shared","Network.NET.Network - Shared, ENUM-Network, Pathfinder-Network"
Amsterdam-NLD-Telecity-1,217,39,1,39,,atnrpprbk1.nrs ,atnrpprbk1.nrs.neustar.com,HP,ProLiant DL360p G5,CZJ802A4H2,,Production,Storage - Offline,Backup
Amsterdam-NLD-Telecity-1,216,30,5,"26,27,28,29,30",,atnrq11506a1.nrs ,atnrq11506a1.nrs.neustar.com,Cisco,11500,JMX1145206U,,Production,"ENUM, Registry, Pathfinder, Network - Shared","Network.NET.Network - Shared, ENUM-Network, Pathfinder-Network"
Amsterdam-NLD-Telecity-1,216,40,3,"38,39,40",,atnrq3845a.nrs ,atnrq3845a.nrs.neustar.com,Cisco,3845-MB,FCZ120370UG,,Production,"ENUM, Registry, Pathfinder, Network - Shared","Network.NET.Network - Shared, ENUM-Network, Pathfinder-Network"
Amsterdam-NLD-Telecity-1,216,32,1,32,,atnrq5550a1.nrs ,atnrq5550a1.nrs.neustar.com,Cisco,ASA 5550,JMX1152L09E,12112,Production,"ENUM, Registry, Pathfinder, Network - Shared, Network Security Services","Pathfinder-Network, Network.NET.Network - Shared, Network Security Services-Appliances"
Amsterdam-NLD-Telecity-1,216,31,1,31,,atnrq5550b1.nrs ,atnrq5550b1.nrs.neustar.com,Cisco,ASA 5550,JMX1152L09C,12114,Production,"ENUM, Registry, Pathfinder, Network - Shared, Network Security Services","Pathfinder-Network, Network.NET.Network - Shared, Network Security Services-Appliances"
Amsterdam-NLD-Telecity-1,216,24,1,24,,atnrqcon1,atnrqcon1,DIGI,CM16,,,,,
Amsterdam-NLD-Telecity-1,216,23,1,23,,atnrpprqdb1,atnrpprqdb1,HP,ProLiant DL360p G5,,,,,
Amsterdam-NLD-Telecity-1,216,21,1,21,,atnrppren1.nrs ,atnrppren1.nrs.neustar.com,HP,ProLiant DL360p G5,CZJ802A4HA,,Production,Pathfinder,Pathfinder
Amsterdam-NLD-Telecity-1,216,20,1,20,,atnrppren3.nrs ,atnrppren3.nrs.neustar.com,HP,ProLiant DL360p G5,CZJ802A4H6,,Production,Pathfinder,Pathfinder
Amsterdam-NLD-Telecity-1,216,17,1,17,,atnrpprzt1.nrs ,atnrpprzt1.nrs.neustar.com,HP,ProLiant DL360p G5,CZJ802A4H0,,Production,Pathfinder,Pathfinder
Amsterdam-NLD-Telecity-1,216,18,1,18,,atgspprxm1.nrs ,atgspprxm1.nrs.neustar.com,HP,ProLiant DL360p G7,USE152PJ8J,151885,Production,Registry,TLD.HOST.Registry
Amsterdam-NLD-Telecity-1,216,37,5,"33,34,35,36,37",,atnrq6504a.nrs ,atnrq6504a.nrs.neustar.com,Cisco,WS-C6504E,FOX1152GA9Z,,Production,"ENUM, Registry, Pathfinder, Network - Shared","Network.NET.Network - Shared, ENUM-Network, Pathfinder-Network"
Amsterdam-NLD-Telecity-1,215,30,5,"26,27,28,29,30",,atnrq11506a2.nrs ,atnrq11506a2.nrs.neustar.com,Cisco,11500,JMX1205200H,,Production,"ENUM, Registry, Pathfinder, Network - Shared","Network.NET.Network - Shared, ENUM-Network, Pathfinder-Network"
Amsterdam-NLD-Telecity-1,215,40,3,"38,39,40",,atnrq3845b.nrs ,atnrq3845b.nrs.neustar.com,Cisco,3845-MB,FCZ120472K4,,Production,"ENUM, Registry, Pathfinder, Network - Shared","Network.NET.Network - Shared, ENUM-Network, Pathfinder-Network"
Amsterdam-NLD-Telecity-1,215,32,1,32,,atnrq5550a2.nrs ,atnrq5550a2.nrs.neustar.com,Cisco,ASA 5550,JMX1203L12N,12113,Production,"ENUM, Registry, Pathfinder, Network - Shared, Network Security Services","Pathfinder-Network, Network.NET.Network - Shared, Network Security Services-Appliances"
Amsterdam-NLD-Telecity-1,215,31,1,31,,atnrq5550b2.nrs ,atnrq5550b2.nrs.neustar.com,Cisco,ASA 5550,JMX1203L12L,12115,,,
Amsterdam-NLD-Telecity-1,215,23,1,23,,antrpprqdb2,antrpprqdb2,HP,ProLiant DL360p G5,,,,,,,,,
Amsterdam-NLD-Telecity-1,215,21,1,21,,antrpprqen2,antrpprqen2,HP,ProLiant DL360p G5,,,,,,,,,
Amsterdam-NLD-Telecity-1,215,20,1,20,,antrpprqen4,antrpprqen4,HP,ProLiant DL360p G5,,,,,,,,,
Amsterdam-NLD-Telecity-1,215,17,1,17,,atnrpprzt2.nrs ,atnrpprzt2.nrs.neustar.com,HP,ProLiant DL360p G5,CZJ802A4HJ,,Production,Pathfinder,Pathfinder,,,,
Amsterdam-NLD-Telecity-1,215,18,1,18,,atgspprxm2.nrs ,atgspprxm2.nrs.neustar.com,HP,ProLiant DL360p G7,USE152PJ8B,151884,Production,Registry,TLD.HOST.Registry,,,,
Amsterdam-NLD-Telecity-1,215,37,5,"33,34,35,36,37",,atnrq6504b.nrs ,atnrq6504b.nrs.neustar.com,Cisco,WS-C6504E,FOX1152GAAF,,Production,"ENUM, Registry, Pathfinder, Network - Shared","Network.NET.Network - Shared, ENUM-Network, Pathfinder-Network",,,,
Amsterdam-NLD-Telecity-1,215,16,2,"15,16",,,,SUN,X4270,,,,,,,,,
Amsterdam-NLD-Telecity-1,214,20,2,"19,20",,atnrq2200la1.nrs ,atnrq2200la1.nrs.neustar.com,A10,AX2200,,,Production,"Pathfinder, Registry, Network - Shared","Network.NET.Network - Shared, Pathfinder-Network, Network.NET.Registry",,,,
Amsterdam-NLD-Telecity-1,214,18,2,"17,18",,atnrq2200la2.nrs ,atnrq2200la2.nrs.neustar.com,A10,AX2200,AX22161109340009,,Production,"Pathfinder, Registry, Network - Shared",Network.NET.Network - Shared,,,,
Amsterdam-NLD-Telecity-1,214,25,1,25,,atnrppqdb3,atnrppqdb3,HP,ProLiant DL360p G8,,,,,,,,,
Amsterdam-NLD-Telecity-1,214,23,1,23,,atnrppqdb4,atnrppqdb4,HP,ProLiant DL360p G8,,,,,,,,,
Ashburn-VA-EQIX-DC2,104,34,1,34,on,,,Arista,2800,,10490,,,,,,,
Ashburn-VA-EQIX-DC2,104,38,1,38,on,stnpmm7048a.va ,stnpmm7048a.va.neustar.com,Arista,7048T-A,JPE13372501,157798,Production,"Network - Shared, NPAC","Network - NPAC, Network.NET.Network - Shared",,,,
Ashburn-VA-EQIX-DC2,104,36,1,36,on,stnpmm7048b.va ,stnpmm7048b.va.neustar.com,Arista,7048T-A,JPE13372413,157802,Production,"Network - Shared, NPAC","Network - NPAC, Network.NET.Network - Shared",,,,
Ashburn-VA-EQIX-DC2,104,26,1,26,on,staws7048sa-con.va ,staws7048sa-con.va.neustar.com,Arista,7048T-A,JPE13372233,159558,Production,Network - Shared,Network.NET.Network - Shared,,,,6310
Ashburn-VA-EQIX-DC2,104,24,1,24,on,staws7048sb-con.va ,staws7048sb-con.va.neustar.com,Arista,7048T-A,JPE13382065,159559,Production,Network - Shared,Network.NET.Network - Shared,,,,6310
Ashburn-VA-EQIX-DC2,103,42,1,42,on,asgs2811mb ,asgs2811mb.neustar.com,Cisco,2800,FTX1210A17T,12545,Production,"ENUM, Network - Shared","Network.NET.Network - Shared, ENUM-Network",,,,
Ashburn-VA-EQIX-DC2,103,44,1,44,on,asgs2811ma ,asgs2811ma.neustar.com,Cisco,2800,FTX1210A16Z,12546,Production,"ENUM, Network - Shared","Network.NET.Network - Shared, ENUM-Network",,,,
Ashburn-VA-EQIX-DC2,103,40,1,40,on,asgs2960sa ,asgs2960sa.neustar.com,Cisco,2960,FOC1148Z8KN,12548,Production,"ENUM, Network - Shared","Network.NET.Network - Shared, ENUM-Network",,,,
Ashburn-VA-EQIX-DC2,103,38,1,38,on,asgs2960sb ,asgs2960sb.neustar.com,Cisco,2960,FOC1148Z9GC,12945,Production,"ENUM, Network - Shared","Network.NET.Network - Shared, ENUM-Network",,,,
Ashburn-VA-EQIX-DC2,103,34,1,34,on,asgsdprdns2 ,asgsdprdns2.neustar.com,Dell ,Power Edge 1950,J1BZTF1,12589,Production,Registry,Assets.HOST.Registry,,,,
Ashburn-VA-EQIX-DC2,103,36,1,36,on,asgsdprdns1 ,asgsdprdns1.neustar.com,Dell,Power Edge 1950,12BZTF1,12590,Production,Registry,Assets.HOST.Registry,,,,
Ashburn-VA-EQIX-DC2,103,15,1,15,on,,,HP,ProLiant DL360 G2,2UX7110340,,,,,,,,
Ashburn-VA-EQIX-DC2,103,18,1,18,on,asixpctdb1.sip-ix ,asixpctdb1.sip-ix.neustar.com,HP,ProLiant DL360 G5,2UX70102YB,142573,Production,"Pathfinder, SIP-IX, itRS","Pathfinder CT, Assets.HOST.CT.SIP-IX, itRS CT",,,,
Ashburn-VA-EQIX-DC2,103,21,1,21,on,,,HP,ProLiant DL360 G6,CZ193303MV,,,,,,,,
Ashburn-VA-EQIX-DC2,103,23,1,23,on,,,HP,ProLiant DL360 G6,CZ193303N5,,,,,,,,
Ashburn-VA-EQIX-DC2,103,10,1,10,on,asenpprpdb1.enum ,asenpprpdb1.enum.neustar.com,HP,ProLiant DL360p,MXQ34506S7,158167,Production,"itRS, SIP-IX, Pathfinder, Text Everywhere","itRS, Assets.HOST.SIP-IX, Pathfinder, Text Everywhere",,,,
Ashburn-VA-EQIX-DC2,103,25,1,25,on,,,HP,ProLiant DL360p,MXQ3450658,,,,,,,,
Ashburn-VA-EQIX-DC2,103,12,1,12,on,asnrpprdb4.nrs ,asnrpprdb4.nrs.neustar.com,HP,ProLiant DL385 G2,2UX711033F,11187,Production,Pathfinder,Pathfinder,,,,
Ashburn-VA-EQIX-DC2,102,13,1,13,on,,,F5,3900,5FLAB3900LA1,,,,,,,,
Ashburn-VA-EQIX-DC2,102,26,1,26,on,asix4948sa1.sip-ix ,asix4948sa1.sip-ix.neustar.com,Cisco,4948,FOX1102086W,,Production,"Network - Shared, SIP-IX","Network.NET.SIP-IX, Network.NET.Network - Shared",,,,6310
Ashburn-VA-EQIX-DC2,102,36,1,36,on,,,Cisco,7604,1PUPAA6AAA,,,,,,,,
Ashburn-VA-EQIX-DC2,102,24,1,24,on,asixcon1 ,asixcon1.neustar.com,MRV,40001,00A09C-007F20,11147,Production,"Network - Shared, SIP-IX","Network.NET.SIP-IX, Network.NET.Network - Shared",,,,6310
Ashburn-VA-EQIX-DC2,102,28,1,28,on,asix3560a1.sip-ix ,asix3560a1.sip-ix.neustar.com,Cisco,3560 G,FOC1101Y1A9,10456,Production,"Network - Shared, SIP-IX","Network.NET.SIP-IX, Network.NET.Network - Shared",,,,6310
Ashburn-VA-EQIX-DC2,102,15,1,15,on,asnrpprdb5.nrs ,asnrpprdb5.nrs.neustar.com,HP,ProLiant DL360 ,USE332BNV9,157296,Production,Pathfinder,Pathfinder,,,,6310
Ashburn-VA-EQIX-DC2,102,12,1,12,on,asixpprap1.sip-ix ,asixpprap1.sip-ix.neustar.com,HP,ProLiant DL380 G5,2UX7030150,10444,Production,"SIP-IX, itRS, Pathfinder","Assets.HOST.SIP-IX, itRS, Pathfinder",,,,6310
